submission_num,submission_date,state,total_cases,confirmed_cases,probable_cases,new_case,probable_new_cases,consent_cases,consent_deaths,total_deaths,confirmed_deaths,probable_deaths,new_deaths,probable_new_deaths
30286,6/9/2021,PW,1,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0,0
2333,2/29/2020,UT,0,NULL,NULL,0,NULL,Agree,Agree,0,NULL,NULL,0,NULL
33762,8/6/2021,OK,496347,389110,107237,2364,621,Agree,Agree,7566,6451,1115,6,1
23459,2/15/2021,WV,127889,102399,25490,301,94,Agree,Not agree,2212,NULL,NULL,2,0
33361,7/31/2021,AK,72519,NULL,NULL,234,0,NULL,NULL,382,NULL,NULL,0,0
1343,2/13/2020,MA,1,NULL,NULL,0,NULL,Agree,Agree,0,NULL,NULL,0,NULL
25747,3/26/2021,CO,464470,434586,29884,1359,137,Agree,Agree,6086,5362,724,4,-2
27105,4/17/2021,PR,124293,110871,13422,1311,363,Agree,Agree,2190,1867,323,4,0
22852,2/5/2021,TX,2462886,NULL,NULL,14493,3735,Not agree,Not agree,42455,NULL,NULL,248,0
32872,7/22/2021,TX,3048575,NULL,NULL,8312,1895,Not agree,Not agree,51749,NULL,NULL,40,0
2999,3/11/2020,WV,0,NULL,NULL,0,NULL,Agree,Not agree,0,NULL,NULL,0,NULL
21225,1/9/2021,PR,84789,79282,5507,360,46,Agree,Agree,1618,1354,264,0,0
26113,4/1/2021,GA,1060973,853273,207700,1425,547,Agree,Agree,19119,16664,2455,64,7
17483,11/8/2020,MA,171399,166745,4654,1823,14,Agree,Agree,10201,9975,226,20,0
5080,4/15/2020,NYC,129965,127185,2780,3496,184,Agree,Agree,12022,9249,2773,755,184
17171,11/3/2020,FL,807990,NULL,NULL,4357,931,Not agree,Not agree,18233,NULL,NULL,40,2
7019,5/17/2020,WV,1490,1490,0,20,0,Agree,Not agree,67,NULL,NULL,2,0
39800,11/15/2021,KS,449813,352929,96884,2019,1287,NULL,NULL,6614,NULL,NULL,-4,3
13991,9/11/2020,FL,651051,NULL,NULL,3151,364,Not agree,Not agree,15312,NULL,NULL,83,2
17680,11/11/2020,NYC,281652,266989,14663,2085,541,Agree,Agree,23812,19146,4666,6,2
20740,1/1/2021,NYC,448506,396615,51891,6034,1061,Agree,Agree,25107,20358,4749,46,5
28741,5/15/2021,AK,66726,NULL,NULL,43,0,NULL,NULL,347,NULL,NULL,0,0
3123,3/14/2020,AR,12,NULL,NULL,3,NULL,Not agree,Not agree,0,NULL,NULL,0,NULL
26591,4/9/2021,FL,2076706,NULL,NULL,6745,1867,Not agree,Not agree,34869,NULL,NULL,43,2
35895,9/11/2021,HI,68916,NULL,NULL,829,58,Not agree,Not agree,648,NULL,NULL,12,0
112,1/23/2020,TX,0,NULL,NULL,0,NULL,Not agree,Not agree,0,NULL,NULL,0,NULL
20453,12/27/2020,UT,264874,264874,0,796,0,Agree,Agree,1214,1192,22,2,0
35085,8/28/2021,PR,169700,141922,27778,663,256,Agree,Agree,2817,2406,411,3,1
13624,9/5/2020,AS,0,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0,0
38632,10/26/2021,TX,4202317,NULL,NULL,6014,1747,Not agree,Not agree,69267,NULL,NULL,178,0
282,1/26/2020,OK,0,NULL,NULL,0,NULL,Not agree,Agree,0,NULL,NULL,0,NULL
15543,10/7/2020,AR,88880,NULL,NULL,809,125,Not agree,Not agree,1485,NULL,NULL,16,0
13439,9/1/2020,WV,10507,10321,186,257,2,Agree,Not agree,222,NULL,NULL,8,0
12292,8/13/2020,TX,513575,NULL,NULL,6755,0,Not agree,Not agree,12564,NULL,NULL,204,0
18195,11/20/2020,HI,16766,NULL,NULL,89,0,Not agree,Not agree,222,NULL,NULL,0,0
10372,7/12/2020,TX,258658,NULL,NULL,8196,0,Not agree,Not agree,5219,NULL,NULL,224,0
4040,3/29/2020,KS,319,NULL,NULL,58,NULL,NULL,NULL,6,NULL,NULL,1,NULL
31021,6/22/2021,AK,68145,NULL,NULL,33,0,NULL,NULL,366,NULL,NULL,0,0
38862,10/30/2021,OK,644684,490207,154477,0,0,Agree,Agree,10794,8246,2548,0,0
27352,4/21/2021,TX,2853676,NULL,NULL,4856,1127,Not agree,Not agree,49599,NULL,NULL,38,0
903,2/6/2020,AR,0,NULL,NULL,0,NULL,Not agree,Not agree,0,NULL,NULL,0,NULL
32415,7/15/2021,HI,37318,NULL,NULL,144,8,Not agree,Not agree,519,NULL,NULL,1,0
9886,7/4/2020,PW,0,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0,0
6181,5/4/2020,AK,370,NULL,NULL,2,0,NULL,NULL,10,NULL,NULL,0,0
32039,7/8/2021,WV,164399,128417,35982,53,17,Agree,Not agree,2904,NULL,NULL,3,0
18251,11/21/2020,FL,922372,NULL,NULL,6466,1399,Not agree,Not agree,19332,NULL,NULL,66,6
13725,9/6/2020,PR,17635,17437,198,1,0,Agree,Agree,468,313,155,5,2
32502,7/16/2021,OK,465398,366723,98675,791,169,Agree,Agree,7429,6329,1100,3,1
15762,10/10/2020,OK,106429,98971,7458,1315,232,Agree,Agree,1507,1484,23,13,2
15412,10/4/2020,TX,765894,NULL,NULL,2884,0,Not agree,Not agree,17156,NULL,NULL,60,0
12702,8/20/2020,OK,55494,NULL,NULL,824,0,Not agree,Agree,903,895,8,9,0
39586,11/11/2021,PW,10,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0,0
4331,4/3/2020,FL,10094,NULL,NULL,1280,0,Not agree,Not agree,275,NULL,NULL,31,1
18487,11/25/2020,CO,221817,209466,12351,4118,156,Agree,Agree,2906,2439,467,46,3
28621,5/13/2021,AK,66574,NULL,NULL,83,0,NULL,NULL,347,NULL,NULL,0,0
11824,8/6/2020,AS,0,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0,0
5771,4/27/2020,FL,31664,NULL,NULL,747,1,Not agree,Not agree,1327,NULL,NULL,43,0
18525,11/25/2020,PR,52614,51212,1402,1491,87,Agree,Agree,1062,855,207,18,4
17093,11/1/2020,UT,116510,116510,0,1854,0,Agree,Agree,614,607,7,10,0
4463,4/5/2020,MA,12500,NULL,NULL,764,NULL,Agree,Agree,380,374,6,68,0
8000,6/3/2020,KS,10170,10170,0,159,0,NULL,NULL,222,NULL,NULL,5,0
2101,2/26/2020,AK,0,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,0,NULL
37395,10/6/2021,HI,78127,NULL,NULL,164,27,Not agree,Not agree,813,NULL,NULL,7,0
17175,11/3/2020,HI,15229,NULL,NULL,82,0,Not agree,Not agree,218,NULL,NULL,0,0
11941,8/8/2020,AK,3622,NULL,NULL,79,0,NULL,NULL,40,NULL,NULL,0,0
526,1/30/2020,PW,0,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,0,NULL
27241,4/20/2021,AK,63794,NULL,NULL,98,0,NULL,NULL,341,NULL,NULL,0,0
8926,6/18/2020,PW,0,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0,0
28813,5/16/2021,GA,1115601,890267,225334,529,155,Agree,Agree,20506,17804,2702,1,0
28381,5/9/2021,AK,66272,NULL,NULL,76,0,NULL,NULL,343,NULL,NULL,0,0
11069,7/24/2020,MP,38,38,0,0,0,Agree,Agree,2,2,0,0,0
33123,7/27/2021,AR,378023,NULL,NULL,2052,945,Not agree,Not agree,6087,NULL,NULL,10,1
25846,3/27/2021,PW,0,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0,0
2651,3/6/2020,FL,8,NULL,NULL,0,0,Not agree,Not agree,2,NULL,NULL,1,0
35565,9/5/2021,PR,174354,145060,29294,387,115,Agree,Agree,2917,2487,430,6,1
39553,11/11/2021,GA,1644997,1271271,373726,0,0,Agree,Agree,29749,25255,4494,0,0
2884,3/10/2020,AS,0,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,0,NULL
21421,1/13/2021,AK,49446,NULL,NULL,294,0,NULL,NULL,298,NULL,NULL,0,0
24705,3/8/2021,PR,103281,94941,8340,74,7,Agree,Agree,2054,1746,308,2,0
38221,10/20/2021,AK,126250,NULL,NULL,805,0,NULL,NULL,667,NULL,NULL,8,0
10366,7/12/2020,PW,0,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0,0
35824,9/10/2021,AS,0,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0,0
36762,9/25/2021,OK,607158,466693,140465,1613,465,Agree,Agree,8846,7480,1366,51,14
36435,9/20/2021,HI,73567,NULL,NULL,419,28,Not agree,Not agree,709,NULL,NULL,0,0
36661,9/24/2021,AK,103113,NULL,NULL,1729,0,NULL,NULL,514,NULL,NULL,41,0
17535,11/9/2020,HI,15892,NULL,NULL,58,0,Not agree,Not agree,220,NULL,NULL,0,0
123,1/24/2020,AR,0,NULL,NULL,0,NULL,Not agree,Not agree,0,NULL,NULL,0,NULL
26632,4/9/2021,TX,2812899,NULL,NULL,3402,938,Not agree,Not agree,49104,NULL,NULL,44,0
13193,8/28/2020,UT,51704,51258,446,537,8,Agree,Agree,406,406,0,3,0
28079,5/3/2021,WV,154207,121221,32986,289,84,Agree,Not agree,2686,NULL,NULL,0,0
19180,12/6/2020,NYC,343764,314440,29324,3568,757,Agree,Agree,24163,19473,4690,26,1
16621,10/25/2020,AK,13042,NULL,NULL,517,0,NULL,NULL,100,NULL,NULL,3,0
24901,3/12/2021,AK,57841,NULL,NULL,110,0,NULL,NULL,331,NULL,NULL,1,0
21253,1/10/2021,GA,757045,636373,120672,8193,1024,Agree,Agree,11458,10282,1176,1,-1
36162,9/15/2021,OK,589950,454266,135684,2263,828,Agree,Agree,8498,7213,1285,9,1
9342,6/25/2020,OK,16121,NULL,NULL,592,0,Not agree,Agree,424,424,0,4,0
16960,10/30/2020,NYC,267245,256495,10750,1007,223,Agree,Agree,23700,19042,4658,5,1
3743,3/24/2020,MA,1159,NULL,NULL,382,NULL,Agree,Agree,26,26,0,9,0
15893,10/12/2020,UT,86832,86832,0,988,0,Agree,Agree,522,518,4,5,0
7993,6/3/2020,GA,47802,47771,31,723,0,Agree,Agree,2123,2123,0,21,0
31687,7/3/2021,CO,561687,521720,39967,397,42,Agree,Agree,6814,6018,796,12,1
18787,11/30/2020,CO,246454,233592,12862,4607,84,Agree,Agree,3037,2561,476,34,3
34211,8/14/2021,FL,2912528,NULL,NULL,16413,3402,Not agree,Not agree,43930,NULL,NULL,328,23
37122,10/1/2021,OK,616754,473297,143457,1537,497,Agree,Agree,9023,7618,1405,14,1
34426,8/17/2021,PW,2,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0,0
22193,1/25/2021,UT,337264,337264,0,859,0,Agree,Agree,1597,1552,45,2,0
39075,11/3/2021,HI,81850,NULL,NULL,161,16,Not agree,Not agree,911,NULL,NULL,3,0
34785,8/23/2021,PR,165292,139073,26219,220,58,Agree,Agree,2759,2360,399,27,5
11887,8/7/2020,CO,50946,47229,3717,443,31,Agree,Agree,1857,1516,341,5,0
38446,10/23/2021,PW,10,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0,0
24532,3/5/2021,TX,2678295,NULL,NULL,6853,1790,Not agree,Not agree,46960,NULL,NULL,102,0
38320,10/21/2021,NYC,1114016,910532,203484,914,191,Agree,Agree,34503,29344,5159,14,0
21046,1/6/2021,PW,0,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0,0
25160,3/16/2021,KS,298218,241839,56379,0,0,NULL,NULL,4835,NULL,NULL,0,0
11883,8/7/2020,AR,48039,NULL,NULL,1011,0,Not agree,Not agree,521,NULL,NULL,6,0
38947,11/1/2021,CO,747855,687236,60619,7394,561,Agree,Agree,8258,7341,917,72,8
27473,4/23/2021,UT,394678,394678,0,344,0,Agree,Agree,2179,2115,64,1,0
16006,10/14/2020,PW,0,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0,0
20620,12/30/2020,NYC,436254,386432,49822,6582,1197,Agree,Agree,25007,20267,4740,46,3
9727,7/2/2020,CO,33861,30837,3024,395,32,Agree,Agree,1701,1365,336,4,1
33405,7/31/2021,PR,148015,128162,19853,721,236,Agree,Agree,2570,2209,361,1,0
13605,9/4/2020,PR,17529,17333,196,487,1,Agree,Agree,462,309,153,17,6
11202,7/26/2020,OK,39407,NULL,NULL,385,1,Not agree,Agree,616,614,2,12,0
13313,8/30/2020,UT,52508,52063,445,363,-1,Agree,Agree,406,406,0,0,0
5480,4/22/2020,KS,2211,2211,0,186,0,NULL,NULL,110,NULL,NULL,3,0
1852,2/21/2020,TX,0,NULL,NULL,0,NULL,Not agree,Not agree,0,NULL,NULL,0,NULL
2163,2/27/2020,AR,0,NULL,NULL,0,NULL,Not agree,Not agree,0,NULL,NULL,0,NULL
32943,7/24/2021,AR,374328,NULL,NULL,2015,0,Not agree,Not agree,6048,NULL,NULL,7,0
9592,6/29/2020,TX,153011,NULL,NULL,4288,0,Not agree,Not agree,3170,NULL,NULL,91,0
32527,7/17/2021,CO,567372,526642,40730,555,121,Agree,Agree,6878,6086,792,2,0
25447,3/21/2021,CO,459119,429896,29223,890,89,Agree,Agree,6073,5343,730,5,0
12089,8/10/2020,MP,48,48,0,0,0,Agree,Agree,2,2,0,0,0
8111,6/5/2020,FL,60517,NULL,NULL,1242,3,Not agree,Not agree,2851,NULL,NULL,31,0
32767,7/21/2021,CO,569328,528366,40962,603,69,Agree,Agree,6895,6100,795,7,1
36675,9/24/2021,HI,74997,NULL,NULL,391,21,Not agree,Not agree,742,NULL,NULL,9,0
19513,12/12/2020,GA,538040,471734,66306,6447,1617,Agree,Agree,10075,9204,871,44,15
22726,2/3/2021,PW,0,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0,0
28649,5/13/2021,MP,170,170,0,0,0,Agree,Agree,2,2,0,0,0
35900,9/11/2021,KS,388111,310214,77897,959,540,NULL,NULL,5768,NULL,NULL,2,4
3011,3/12/2020,FL,31,NULL,NULL,5,0,Not agree,Not agree,3,NULL,NULL,0,0
27604,4/26/2021,AS,0,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0,0
13207,8/29/2020,CO,58014,53734,4280,313,33,Agree,Agree,1944,1596,348,7,2
6663,5/12/2020,AR,4164,NULL,NULL,121,0,Not agree,Not agree,95,NULL,NULL,1,0
19613,12/13/2020,UT,233904,233904,0,2083,0,Agree,Agree,1055,1037,18,17,0
38831,10/30/2021,FL,3648450,NULL,NULL,937,255,Not agree,Not agree,60641,NULL,NULL,36,4
7482,5/25/2020,OK,6792,NULL,NULL,43,0,Not agree,Agree,347,347,0,7,0
21809,1/19/2021,MP,129,129,0,0,0,Agree,Agree,2,2,0,0,0
32813,7/21/2021,UT,425603,425603,0,873,0,Agree,Agree,2424,2353,71,4,0
19520,12/12/2020,KS,185294,158086,27208,0,0,NULL,NULL,2072,NULL,NULL,0,0
13744,9/7/2020,AS,0,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0,0
7381,5/24/2020,AK,410,NULL,NULL,0,0,NULL,NULL,11,NULL,NULL,0,0
30449,6/12/2021,MP,183,183,0,0,0,Agree,Agree,2,2,0,0,0
18784,11/30/2020,AS,3,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0,0
13619,9/4/2020,WV,11037,10846,191,192,-1,Agree,Not agree,243,NULL,NULL,6,0
8873,6/17/2020,UT,15539,15539,0,398,0,Agree,Agree,149,149,0,3,0
23020,2/8/2021,NYC,651584,558259,93325,3954,872,Agree,Agree,27840,22951,4889,83,6
11262,7/27/2020,OK,39769,NULL,NULL,362,0,Not agree,Agree,626,623,3,10,1
32026,7/8/2021,PW,2,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0,0
21959,1/21/2021,WV,112617,90494,22123,940,157,Agree,Not agree,1849,NULL,NULL,13,1
36683,9/24/2021,MA,802829,749440,53389,1920,136,Agree,Agree,18541,18154,387,14,1
20833,1/3/2021,GA,690900,587076,103824,5778,701,Agree,Agree,10964,9893,1071,4,2
2260,2/28/2020,NYC,0,NULL,NULL,0,NULL,Agree,Agree,0,NULL,NULL,0,NULL
18675,11/28/2020,HI,17573,NULL,NULL,75,0,Not agree,Not agree,238,NULL,NULL,0,0
13215,8/29/2020,HI,8313,NULL,NULL,200,0,Not agree,Not agree,62,NULL,NULL,3,0
9282,6/24/2020,OK,15529,NULL,NULL,574,0,Not agree,Agree,420,420,0,0,0
22245,1/26/2021,PR,93816,87162,6654,291,46,Agree,Agree,1784,1507,277,10,1
22395,1/29/2021,HI,25564,NULL,NULL,104,0,Not agree,Not agree,404,NULL,NULL,1,0
